tweet,sentiment
thanks for the link love yesterday by the way,pos
awesome! What a blessing,pos
what did someone do? and good morning,pos
"_1999  ohh, that is so cute, fishing is so peaceful!  your daughter looks so focus in what she is doing",pos
Sitting outside with my laptop  Its kinda nice,pos
I know right  but hopefully something comes up though,pos
I love crowded cars  and Ayanna!,pos
Missing my mother... t-11 days! HAPPY MOTHER`S DAY!!,pos
LOL I love my MacBook too. Oh and my iMac. Can`t decide which I love more. OK 24' iMac trumps 13' MacBook,pos
"caww that sounds good, I hope you`re right",pos
Just got home  interesting night,pos
**left off the 'again' in the title...whoops!,pos
back home early for once  - wow this thing is getting addictive..................**** u phil XD,pos
I was just about to put in '@' and then my username.. Wow.,pos
That was nice. I Just ordered my mom her gift from me and my sister.   Something different and unexpected.,pos
that`s precious,pos
thanks so much! we love fanmail  talk to us anytime,pos
"Hey, im chillin right now, gettin ready for school   Mohawk Kidd",pos
"'might be interested' - thanks, I was: I came, I saw, I winced..  too much like Flatland",pos
"did ice skating last show part this morning. Mozart. awesome, can`t wait to do it Friday and saturday. love U all",pos
is super happy at the new interest rate.  whoop whoop.,pos
I`m glad you liked it   Want more?,pos
Thank you Jon!  That`s very sweet.,pos
Wow.. TAGers ROCK!!!  Awesome performance,pos
thank you for your comment,pos
night honey..see ya tomorrow,pos
Good day all. Let`s see what we can get accomplished today together.,pos
Wonderful! Let me know what you think. Not light reading,pos
tell pete he looks sexy with a beard.,pos
whew. did some more vacuuming. what a good time! You should vacuum.,pos
aww lovely pic,pos
"to  and , thanks for following me.",pos
i like yours too   i enjoy your photography. =],pos
Hmm. Did you mean to start 'following' me? Oh and g`morning by the way!,pos
_ Sounds like you got a fan in Danstorce.,pos
'Perfect Practice makes Perfect',pos
"Gooooooood morning, campers!  And happy Mother`s Day!",pos
"i actually really liked Merlin last night. some parts were a bit eh, but the part where that chick was singing was like whoa.",pos
A VERY HAPPY MOTHER`S DAY TO ALL MOTHERS OUT THERE! Mamma Mia - Abba   ?,pos
thanks everyone for praying for President Aquino.,pos
"Love song for the night, 'Then' by Brad Paisley.  Happy Mother`s Day   Love & Light ~ Joy",pos
caught me at lunch today... you were correct of he stalking me,pos
FRIENDS COMING TONIGHT! Hopefully the weather will stay nice,pos
please please please please let my match be cancelled today. PLEASE,pos
its my birthday too  but its the 10th of may right now for me.. and its probably the 9th for you.. happy birthday anyway,pos
Yeah I`m kinda glad I did stay home,pos
: more interested in watching SNL for Ciara than Justin Timberfake,pos
": Very interested. However, low carbs for the next month means no beer for me",pos
Jimmy Eat World`s initials are JEW....new favorite band,pos
well uhm i guess u pretty do now dont u? lol but it still sounded good,pos
"- i think so ! well,u`re lucky",pos
Wants somebody to cheer her up,pos
I`m cooking meatballs for lunch  yaaayyy ...,pos
_Janeway OOC: Goodnight,pos
"No Evidence, No Conviction ! Absolutely hilarious.. Makes my day every time",pos
'And now my mom and her friend are drinking.. Greatt..',pos
thx for the tip.  how did you figure that one out?,pos
"Thank you  I liked Joe`s clothes` being ripped off and then Kevin screaming, 'Who are you!?!' XD",pos
aww my son gave me a purple g shock for mother`s day,pos
Watching Oceans 11 in Vegas - seems so appropriate,pos
Download movie  '81st Annual Academy Awards Pre-Show'cool #movie,pos
glad u liked post  looking at the back end now...the sub 2 your blog is automatic. send url and i`ll verify.,pos
i lurveeeeee you,pos
"Hahaha! Is he snoring, too?",pos
...thanks for the shout out...you might be right about the starving thing....     little lol,pos
good morning guys!  experimental chemistry test this morning :s wish me luck!,pos
"_Henrie hey david, you`re hot",pos
Chillaxing in Hyde park,pos
hey ive seen the musical live its funny lol,pos
"_ritz alrighty, thnx  good night.",pos
